Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Shelburne,2016-01-01,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,1,,1.9,,-3.8,,-1,,19,,0,,,M,,M,0,,12,,28,,33,
Shelburne,2016-01-02,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,2,,2.2,,-4.6,,-1.2,,19.2,,0,,,M,,M,,M,10,,30,,33,
Shelburne,2016-01-03,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,3,,2.7,,-3,,-0.2,,18.2,,0,,,M,,M,0.3,,10,,,,<31,
Shelburne,2016-01-04,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,4,,-0.4,,-9.6,,-5,,23,,0,,,M,,M,0.4,,9,,,,<31,
Shelburne,2016-01-05,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,5,,-6.5,,-13.9,,-10.2,,28.2,,0,,,M,,M,,M,9,,1,,33,
Shelburne,2016-01-06,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,6,,3.5,,-12.8,,-4.7,,22.7,,0,,,M,,M,11.1,,9,,,,<31,
Shelburne,2016-01-07,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,7,,3.8,,-9.8,,-3,,21,,0,,,M,,M,9.6,,9,,,,<31,
Shelburne,2016-01-08,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,8,,1.6,,-6.9,,-2.7,,20.7,,0,,,M,,M,7.3,,9,,,,<31,
Shelburne,2016-01-09,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,9,,-1.7,,-4.5,,-3.1,,21.1,,0,,,M,,M,0,,9,,,,<31,
Shelburne,2016-01-10,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,10,,8.8,,-2,,3.4,,14.6,,0,,,M,,M,17.7,,9,,14,,61,
Shelburne,2016-01-11,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,11,,10.5,,-4.8,,2.9,,15.1,,0,,,M,,M,72.5,,0,T,16,,65,
Shelburne,2016-01-12,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,12,,,M,-7.9,E,,M,,M,,M,,M,,M,,M,0,T,29,,37,
Shelburne,2016-01-13,-65.2,44.4,KEJIMKUJIK 1,8202592,2016,1,13,,0.7,,-7.5,,-3.4,,21.4,,0,,,M,,M,11.3,,20,,28,,59,
