Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Margaree,2014-01-01,-60.05,46.17,SYDNEY A,8205700,2014,1,1,,-8.9,,-14.6,,-11.8,,29.8,,0,,0,,0.4,,0.4,,54,,27,,41,
Margaree,2014-01-02,-60.05,46.17,SYDNEY A,8205700,2014,1,2,,-12.3,,-16.3,,-14.3,,32.3,,0,,0,,1.4,,1.3,,55,,30,E,41,E
Margaree,2014-01-03,-60.05,46.17,SYDNEY A,8205700,2014,1,3,,-9.6,,-12.4,,-11,,29,,0,,0,,24.8,,21,,56,,36,E,67,E
Margaree,2014-01-04,-60.05,46.17,SYDNEY A,8205700,2014,1,4,,-9.7,,-13.9,,-11.8,,29.8,,0,,0,,1.4,,1.2,,80,,28,E,56,E
Margaree,2014-01-05,-60.05,46.17,SYDNEY A,8205700,2014,1,5,,-1,,-10.6,,-5.8,,23.8,,0,,0,,0,,0,,80,,27,E,35,E
Margaree,2014-01-06,-60.05,46.17,SYDNEY A,8205700,2014,1,6,,6.6,,-15.6,,-4.5,,22.5,,0,,21.2,,0,,21.2,,75,,14,E,59,E
Margaree,2014-01-07,-60.05,46.17,SYDNEY A,8205700,2014,1,7,,9.5,,-12.7,,-1.6,,19.6,,0,,6.6,,3,,9.6,,57,,26,E,72,E
Margaree,2014-01-08,-60.05,46.17,SYDNEY A,8205700,2014,1,8,,-8.1,,-12.3,,-10.2,,28.2,,0,,0,,0,T,0,T,52,,26,E,52,E
Margaree,2014-01-09,-60.05,46.17,SYDNEY A,8205700,2014,1,9,,-7.1,,-11,,-9.1,,27.1,,0,,0,,1.2,,1.2,,50,,28,E,54,E
Margaree,2014-01-10,-60.05,46.17,SYDNEY A,8205700,2014,1,10,,-1.2,,-12,,-6.6,,24.6,,0,,0,,0,T,0,T,49,,26,E,44,E
Margaree,2014-01-11,-60.05,46.17,SYDNEY A,8205700,2014,1,11,,8.6,,-1.3,,3.7,,14.3,,0,,13.4,,0,T,13.4,,46,,21,,76,
Margaree,2014-01-12,-60.05,46.17,SYDNEY A,8205700,2014,1,12,,9.2,,1.8,,5.5,,12.5,,0,,18.2,,0,,18.2,,20,,21,E,89,E
Margaree,2014-01-13,-60.05,46.17,SYDNEY A,8205700,2014,1,13,,2.4,,-4,,-0.8,,18.8,,0,,0,,0,,0,,14,,28,E,46,E
Margaree,2014-01-14,-60.05,46.17,SYDNEY A,8205700,2014,1,14,,8.6,,-4,,2.3,,15.7,,0,,0.4,,0,,0.4,,12,,20,E,46,E
Margaree,2014-01-15,-60.05,46.17,SYDNEY A,8205700,2014,1,15,,10.6,,-0.6,,5,,13,,0,,7.6,,0,,7.6,,5,,20,E,72,E
Margaree,2014-01-16,-60.05,46.17,SYDNEY A,8205700,2014,1,16,,2.7,,0,,1.4,,16.6,,0,,17,,0,T,17,,3,,,,<31,
Margaree,2014-01-17,-60.05,46.17,SYDNEY A,8205700,2014,1,17,,7.7,,-1.3,,3.2,,14.8,,0,,0,T,0,,0,T,2,,,,<31,
Margaree,2014-01-18,-60.05,46.17,SYDNEY A,8205700,2014,1,18,,4.1,,-1,,1.6,,16.4,,0,,0,,21.6,,21.6,,2,,1,E,50,E
Margaree,2014-01-19,-60.05,46.17,SYDNEY A,8205700,2014,1,19,,0.7,,-2.3,,-0.8,,18.8,,0,,0,,7.8,,7.8,,28,,34,E,54,E
Margaree,2014-01-20,-60.05,46.17,SYDNEY A,8205700,2014,1,20,,1.5,,-2.5,,-0.5,,18.5,,0,,0,,1.2,,1.2,,29,,23,E,35,E
Margaree,2014-01-21,-60.05,46.17,SYDNEY A,8205700,2014,1,21,,-2.5,,-15.4,,-9,,27,,0,,0,,0,T,0,T,27,,26,,48,
Margaree,2014-01-22,-60.05,46.17,SYDNEY A,8205700,2014,1,22,,-4,,-11,,-7.5,,25.5,,0,,0,,30.4,,30.2,,32,,1,E,61,E
Margaree,2014-01-23,-60.05,46.17,SYDNEY A,8205700,2014,1,23,,-3.5,,-11.8,,-7.7,,25.7,,0,,0,,1,,1,,47,,30,E,57,E
Margaree,2014-01-24,-60.05,46.17,SYDNEY A,8205700,2014,1,24,,-10.8,,-15.7,,-13.3,,31.3,,0,,0,,0,T,0,T,47,,25,E,33,E
Margaree,2014-01-25,-60.05,46.17,SYDNEY A,8205700,2014,1,25,,1.3,,-20.4,,-9.6,,27.6,,0,,0,,0,T,0,T,45,,14,E,65,E
Margaree,2014-01-26,-60.05,46.17,SYDNEY A,8205700,2014,1,26,,4.9,,-11.7,,-3.4,,21.4,,0,,20.6,,0.6,,21.2,,35,,15,E,82,E
Margaree,2014-01-27,-60.05,46.17,SYDNEY A,8205700,2014,1,27,,6.5,,-13,,-3.3,,21.3,,0,,5.2,,0,T,5.2,,12,,18,E,61,E
Margaree,2014-01-28,-60.05,46.17,SYDNEY A,8205700,2014,1,28,,4.1,,-14.2,,-5.1,,23.1,,0,,0,,0.2,,0.2,,6,,27,E,50,E
Margaree,2014-01-29,-60.05,46.17,SYDNEY A,8205700,2014,1,29,,-8,,-10.6,,-9.3,,27.3,,0,,0,,13,,11.2,,6,,,,<31,
Margaree,2014-01-30,-60.05,46.17,SYDNEY A,8205700,2014,1,30,,-8.5,,-17.2,,-12.9,,30.9,,0,,0,,0.4,,0.4,,19,,28,E,35,E
Margaree,2014-01-31,-60.05,46.17,SYDNEY A,8205700,2014,1,31,,1.5,,-15.2,,-6.9,,24.9,,0,,0,,0,T,0,T,19,,19,E,61,E
Margaree,2014-02-01,-60.05,46.17,SYDNEY A,8205700,2014,2,1,,-0.7,,-11.6,,-6.2,,24.2,,0,,0,,0,,0,,17,,31,E,33,E
Margaree,2014-02-02,-60.05,46.17,SYDNEY A,8205700,2014,2,2,,1.7,,-3.7,,-1,,19,,0,,0,T,4.8,,4.8,,18,,,,<31,
Margaree,2014-02-03,-60.05,46.17,SYDNEY A,8205700,2014,2,3,,-2.3,,-7.6,,-5,,23,,0,,0,,0,,0,,16,,,,<31,
Margaree,2014-02-04,-60.05,46.17,SYDNEY A,8205700,2014,2,4,,-4.4,,-12.2,,-8.3,,26.3,,0,,0,,0.2,,0.2,,15,,,,<31,
Margaree,2014-02-05,-60.05,46.17,SYDNEY A,8205700,2014,2,5,,-6.5,,-13,,-9.8,,27.8,,0,,0,,9.2,,9.2,,15,,1,E,48,E
Margaree,2014-02-06,-60.05,46.17,SYDNEY A,8205700,2014,2,6,,-9,,-20.9,,-15,,33,,0,,0,,5.6,,5.6,,28,,36,E,57,E
Margaree,2014-02-07,-60.05,46.17,SYDNEY A,8205700,2014,2,7,,-3.7,,-18.2,,-11,,29,,0,,0,,0,T,0,T,25,,24,E,37,E
Margaree,2014-02-08,-60.05,46.17,SYDNEY A,8205700,2014,2,8,,-3.3,,-16.5,,-9.9,,27.9,,0,,0,,0,,0,,23,,25,E,41,E
Margaree,2014-02-09,-60.05,46.17,SYDNEY A,8205700,2014,2,9,,-7.5,,-20.9,,-14.2,,32.2,,0,,0,,0,,0,,22,,,,<31,
Margaree,2014-02-10,-60.05,46.17,SYDNEY A,8205700,2014,2,10,,-6.1,,-18.3,,-12.2,,30.2,,0,,0,,0.2,,0.2,,21,,,,<31,
Margaree,2014-02-11,-60.05,46.17,SYDNEY A,8205700,2014,2,11,,-7.2,,-22.2,,-14.7,,32.7,,0,,0,,0,,0,,20,,27,E,32,E
Margaree,2014-02-12,-60.05,46.17,SYDNEY A,8205700,2014,2,12,,-9.5,,-20.6,,-15.1,,33.1,,0,,0,,0.2,,0.2,,20,,31,E,32,E
Margaree,2014-02-13,-60.05,46.17,SYDNEY A,8205700,2014,2,13,,-0.1,,-21.3,,-10.7,,28.7,,0,,4.6,,2.2,,6.8,,19,,12,E,39,E
Margaree,2014-02-14,-60.05,46.17,SYDNEY A,8205700,2014,2,14,,7.9,,-1,,3.5,,14.5,,0,,54.1,,1.4,,55.5,,12,,22,E,80,E
Margaree,2014-02-15,-60.05,46.17,SYDNEY A,8205700,2014,2,15,,-1,,-5.6,,-3.3,,21.3,,0,,0,,1,,1,,6,,27,E,63,E
Margaree,2014-02-16,-60.05,46.17,SYDNEY A,8205700,2014,2,16,,4.8,,-8.7,,-2,,20,,0,,19,,4,,23,,6,,26,E,93,E
Margaree,2014-02-17,-60.05,46.17,SYDNEY A,8205700,2014,2,17,,-4.3,,-10.2,,-7.3,,25.3,,0,,0,,2.2,,2.2,,6,,27,E,48,E
Margaree,2014-02-18,-60.05,46.17,SYDNEY A,8205700,2014,2,18,,-0.9,,-8.1,,-4.5,,22.5,,0,,0,,0,T,0,T,7,,34,,44,
Margaree,2014-02-19,-60.05,46.17,SYDNEY A,8205700,2014,2,19,,2.4,,-4.7,,-1.2,,19.2,,0,,0,,15.2,,15.2,,8,,8,E,44,E
Margaree,2014-02-20,-60.05,46.17,SYDNEY A,8205700,2014,2,20,,0.2,,-2.5,,-1.2,,19.2,,0,,1,,11,,12,,22,,32,E,52,E
Margaree,2014-02-21,-60.05,46.17,SYDNEY A,8205700,2014,2,21,,1.4,,-4.7,,-1.7,,19.7,,0,,0,,0,T,0,T,27,,,,<31,
Margaree,2014-02-22,-60.05,46.17,SYDNEY A,8205700,2014,2,22,,4.3,,-1.9,,1.2,,16.8,,0,,9.8,,0,,9.8,,22,,15,,37,
Margaree,2014-02-23,-60.05,46.17,SYDNEY A,8205700,2014,2,23,,3.3,,-2.6,,0.4,,17.6,,0,,0,,0,,0,,19,,28,E,54,E
Margaree,2014-02-24,-60.05,46.17,SYDNEY A,8205700,2014,2,24,,3.4,,-5.9,,-1.3,,19.3,,0,,0,T,3.4,,3.4,,15,,33,E,44,E
Margaree,2014-02-25,-60.05,46.17,SYDNEY A,8205700,2014,2,25,,-4.9,,-15.3,,-10.1,,28.1,,0,,0,,0,T,0,T,17,,29,E,44,E
Margaree,2014-02-26,-60.05,46.17,SYDNEY A,8205700,2014,2,26,,-6.3,,-15,,-10.7,,28.7,,0,,0,,0,T,0,T,17,,27,E,39,E
Margaree,2014-02-27,-60.05,46.17,SYDNEY A,8205700,2014,2,27,,-2.1,,-11.7,,-6.9,,24.9,,0,,0,,3.2,,3,,17,,,,<31,
Margaree,2014-02-28,-60.05,46.17,SYDNEY A,8205700,2014,2,28,,-2.3,,-10.9,,-6.6,,24.6,,0,,0,,1.2,,1.2,,21,,28,,54,
Margaree,2014-03-01,-60.05,46.17,SYDNEY A,8205700,2014,3,1,,-3.1,,-13.2,,-8.2,,26.2,,0,,0,,0,,0,,20,,,,<31,
Margaree,2014-03-02,-60.05,46.17,SYDNEY A,8205700,2014,3,2,,1,,-9.4,,-4.2,,22.2,,0,,0,,6,,6,,18,,17,E,35,E
Margaree,2014-03-03,-60.05,46.17,SYDNEY A,8205700,2014,3,3,,-8.3,,-15.9,,-12.1,,30.1,,0,,0,,0,T,0,T,20,,28,E,33,E
Margaree,2014-03-04,-60.05,46.17,SYDNEY A,8205700,2014,3,4,,-11.9,,-20.9,,-16.4,,34.4,,0,,0,,0,,0,,20,,30,,41,
Margaree,2014-03-05,-60.05,46.17,SYDNEY A,8205700,2014,3,5,,-8.4,,-20.1,,-14.3,,32.3,,0,,0,,0,,0,,19,,,,<31,
Margaree,2014-03-06,-60.05,46.17,SYDNEY A,8205700,2014,3,6,,-6.8,,-20.3,,-13.6,,31.6,,0,,0,,0,,0,,19,,31,E,35,E
