Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Kelley,2015-01-01,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,1,,-2.4,,-12.8,,-7.6,,25.6,,0,,,M,,M,2.6,,2,,,,<31,
Kelley,2015-01-02,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,2,,0.9,,-13.2,,-6.2,,24.2,,0,,,M,,M,0,,5,,17,,35,
Kelley,2015-01-03,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,3,,-11.2,,-17.4,,-14.3,,32.3,,0,,,M,,M,0,,4,,33,,33,
Kelley,2015-01-04,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,4,,7.1,,-11.7,,-2.3,,20.3,,0,,,M,,M,24.4,,12,,,,<31,
Kelley,2015-01-05,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,5,,6.4,,-16.5,,-5.1,,23.1,,0,,,M,,M,2.8,,9,,24,,41,
Kelley,2015-01-06,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,6,,-14.8,,-20.9,,-17.9,,35.9,,0,,,M,,M,0,,9,,,,<31,
Kelley,2015-01-07,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,7,,-9.6,,-21.4,,-15.5,,33.5,,0,,,M,,M,0,,9,,,,<31,
Kelley,2015-01-08,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,8,,-14.2,,-22,,-18.1,,36.1,,0,,,M,,M,0,,9,,28,,39,
Kelley,2015-01-09,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,9,,0.6,,-18.9,,-9.2,,27.2,,0,,,M,,M,9.1,,10,,21,,48,
Kelley,2015-01-10,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,10,,-6.8,,-14.3,,-10.6,,28.6,,0,,,M,,M,0,,20,,,,<31,
Kelley,2015-01-11,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,11,,-5.4,,-13.3,,-9.4,,27.4,,0,,,M,,M,0.5,,20,,,,<31,
Kelley,2015-01-12,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,12,,-2.1,,-7.5,,-4.8,,22.8,,0,,,M,,M,5.3,,19,,,,<31,
Kelley,2015-01-13,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,13,,-3.1,,-18.6,,-10.9,,28.9,,0,,,M,,M,0,,27,,36,,37,
Kelley,2015-01-14,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,14,,-4.5,,-21,,-12.8,,30.8,,0,,,M,,M,,M,26,,,,<31,
Kelley,2015-01-15,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2015,1,15,,-3,,-8,,-5.5,,23.5,,0,,,M,,M,0,,26,,,,<31,
