Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Shelburne,2008-01-01,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,1,,-0.9,,-9.1,,-5,,23,,0,,,M,,M,65.4,,2,,,M,,M
Shelburne,2008-01-02,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,2,,1,,-12.8,,-5.9,,23.9,,0,,0,,,M,14.1,,8,,,M,,M
Shelburne,2008-01-03,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,3,,-12.8,,-17.4,,-15.1,,33.1,,0,,,M,,M,35.7,,11,,,M,,M
Shelburne,2008-01-04,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,4,,-4.9,,-18.6,,-11.8,,29.8,,0,,,M,,M,62.4,,10,,,M,,M
Shelburne,2008-01-05,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,5,,-2.5,,-8.6,,-5.6,,23.6,,0,,,M,,M,18,,11,,,M,,M
Shelburne,2008-01-06,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,6,,4.7,,-3.5,,0.6,,17.4,,0,,,M,,M,10.1,,10,,,M,,M
Shelburne,2008-01-07,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,7,,5.2,,-0.7,,2.3,,15.7,,0,,,M,,M,1.2,,7,,,M,,M
Shelburne,2008-01-08,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,8,,11.5,,2.8,,7.2,,10.8,,0,,,M,,M,3.1,,2,,,M,,M
Shelburne,2008-01-09,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,9,,10.9,,2.5,,6.7,,11.3,,0,,,M,,M,2.8,,,,,M,,M
Shelburne,2008-01-10,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,10,,6.9,,-2.2,,2.4,,15.6,,0,,,M,,M,0,,,,,M,,M
Shelburne,2008-01-11,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,11,,9.3,,-2.8,,3.3,,14.7,,0,,,M,,M,24.7,,,,,M,,M
Shelburne,2008-01-12,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,12,,9.2,,-1.5,,3.9,,14.1,,0,,,M,,M,0.6,,,,,M,,M
Shelburne,2008-01-13,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,13,,1.9,,-5.7,,-1.9,,19.9,,0,,,M,,M,0,,,,,M,,M
Shelburne,2008-01-14,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,14,,-3.6,,-5.7,,-4.7,,22.7,,0,,,M,,M,10.2,,,,,M,,M
Shelburne,2008-01-15,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,15,,-3.4,,-5.2,,-4.3,,22.3,,0,,,M,,M,1.3,,,,,M,,M
Shelburne,2008-01-16,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,16,,-2.5,,-7.8,,-5.2,,23.2,,0,,,M,,M,5.1,,,,,M,,M
Shelburne,2008-01-17,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,17,,-1.4,,-8.1,,-4.8,,22.8,,0,,,M,,M,8.9,,,,,M,,M
Shelburne,2008-01-18,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,18,,6.5,,-6.8,,-0.2,,18.2,,0,,,M,,M,21.3,,,,,M,,M
Shelburne,2008-01-19,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,19,,0.8,,-5.1,,-2.2,,20.2,,0,,,M,,M,0,,,,,M,,M
Shelburne,2008-01-20,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,20,,-2.2,,-14.9,,-8.6,,26.6,,0,,,M,,M,3.4,,,,,M,,M
Shelburne,2008-01-21,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,21,,-12.7,,-16.7,,-14.7,,32.7,,0,,,M,,M,2.1,,,,,M,,M
Shelburne,2008-01-22,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,22,,-0.1,,-14.1,,-7.1,,25.1,,0,,0,,,M,2.7,,,,,M,,M
Shelburne,2008-01-23,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,23,,-0.2,,-7.8,,-4,,22,,0,,,M,,M,13.9,,6,,,M,,M
Shelburne,2008-01-24,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,24,,-5.3,,-11.9,,-8.6,,26.6,,0,,,M,,M,0,,5,,,M,,M
Shelburne,2008-01-25,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,25,,-11.1,,-16.4,,-13.8,,31.8,,0,,,M,,M,0,,5,,,M,,M
Shelburne,2008-01-26,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,26,,-8,,-16.4,,-12.2,,30.2,,0,,,M,,M,0,,5,,,M,,M
Shelburne,2008-01-27,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,27,,-6.4,,-20.2,,-13.3,,31.3,,0,,0,,,M,2.9,,4,,,M,,M
Shelburne,2008-01-28,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,28,,-0.2,,-6.4,,-3.3,,21.3,,0,,0,,,M,31.6,,13,,,M,,M
Shelburne,2008-01-29,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,29,,0.2,,-1.9,,-0.9,,18.9,,0,,,M,,M,28.2,,10,,,M,,M
Shelburne,2008-01-30,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,30,,9.2,,-1.8,,3.7,,14.3,,0,,,M,,M,41.3,,7,,,M,,M
Shelburne,2008-01-31,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,1,31,,1.4,,-6,,-2.3,,20.3,,0,,,M,,M,0,,2,,,M,,M
Shelburne,2008-02-01,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,1,,-0.2,,-8.5,,-4.4,,22.4,,0,,0,,,M,1.3,,2,,,M,,M
Shelburne,2008-02-02,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,2,,9.8,,-4.3,,2.8,,15.2,,0,,,M,,M,28.4,,,,,M,,M
Shelburne,2008-02-03,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,3,,-1.3,,-5.8,,-3.6,,21.6,,0,,,M,,M,0,,1,,,M,,M
Shelburne,2008-02-04,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,4,,-0.5,,-8.9,,-4.7,,22.7,,0,,,M,,M,,M,,,,M,,M
Shelburne,2008-02-05,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,5,,-0.2,,-12.1,,-6.2,,24.2,,0,,0,,,M,6,,1,,,M,,M
Shelburne,2008-02-06,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,6,,0.1,,-3.3,,-1.6,,19.6,,0,,0,,,M,11.7,,5,,,M,,M
Shelburne,2008-02-07,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,7,,-3.3,,-10.4,,-6.9,,24.9,,0,,0,,,M,4.3,,12,,,M,,M
Shelburne,2008-02-08,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,8,,-3.8,,-13.1,,-8.5,,26.5,,0,,,M,,M,0.7,,15,,,M,,M
Shelburne,2008-02-09,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,9,,0.3,,-8.7,,-4.2,,22.2,,0,,,M,,M,0.6,,13,,,M,,M
Shelburne,2008-02-10,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,10,,-0.1,,-3.2,,-1.7,,19.7,,0,,0,,,M,11.3,,13,,,M,,M
Shelburne,2008-02-11,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,11,,-3.2,,-9.7,,-6.5,,24.5,,0,,0,,,M,7.8,,31,,,M,,M
Shelburne,2008-02-12,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,12,,-5.4,,-10.8,,-8.1,,26.1,,0,,,M,,M,4.6,,41,,,M,,M
Shelburne,2008-02-13,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,13,,9.3,,-10.1,,-0.4,,18.4,,0,,,M,,M,68.5,,35,,,M,,M
Shelburne,2008-02-14,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,14,,9.1,,-6.4,,1.4,,16.6,,0,,0,,,M,1.2,,11,,,M,,M
Shelburne,2008-02-15,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,15,,2.2,,-8.3,,-3.1,,21.1,,0,,,M,,M,0.7,,11,,,M,,M
Shelburne,2008-02-16,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,16,,-7.3,,-15.1,,-11.2,,29.2,,0,,,M,,M,0.6,,13,,,M,,M
Shelburne,2008-02-17,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,17,,-0.6,,-16.4,,-8.5,,26.5,,0,,,M,,M,0,,14,,,M,,M
Shelburne,2008-02-18,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,18,,12.3,,-0.7,,5.8,,12.2,,0,,,M,,M,78.2,,11,,,M,,M
Shelburne,2008-02-19,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,19,,9.4,,-2.5,,3.5,,14.5,,0,,,M,,M,1.4,,,,,M,,M
Shelburne,2008-02-20,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,20,,-1.3,,-8.5,,-4.9,,22.9,,0,,,M,,M,0.6,,,,,M,,M
Shelburne,2008-02-21,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,21,,-5.8,,-13.2,,-9.5,,27.5,,0,,,M,,M,0,,,,,M,,M
Shelburne,2008-02-22,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,22,,-3.1,,-13.8,,-8.5,,26.5,,0,,0,,,M,11.7,,,,,M,,M
Shelburne,2008-02-23,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,23,,-1.7,,-7.9,,-4.8,,22.8,,0,,,M,,M,1.6,,12,,,M,,M
Shelburne,2008-02-24,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,24,,0.8,,-8.5,,-3.9,,21.9,,0,,,M,,M,0,,11,,,M,,M
Shelburne,2008-02-25,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,25,,4.6,,-6.8,,-1.1,,19.1,,0,,,M,,M,0,,7,,,M,,M
Shelburne,2008-02-26,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,26,,4.8,,-4.6,,0.1,,17.9,,0,,,M,,M,1.8,,4,,,M,,M
Shelburne,2008-02-27,-65.2,44.4,KEJIMKUJIK 1,8202592,2008,2,27,,5.4,,-1.5,,2,,16,,0,,,M,,M,15.2,,3,,,M,,M
