Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Pockwock,2018-01-01,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,1,†,-10.5,,-15,,-12.8,,30.8,,0,,0,,0,,0,,0,,,,,
Pockwock,2018-01-02,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,2,†,-12,,-14.5,,-13.3,,31.3,,0,,0,,0,T,0,,0,,,,,
Pockwock,2018-01-03,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,3,†,-2.5,,-15.5,,-9,,27,,0,,0,,0,,0,,0,T,,,,
Pockwock,2018-01-04,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,4,†,10,,-5.5,,2.3,,15.7,,0,,46.8,,0,T,46.8,,0,,,,,
Pockwock,2018-01-05,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,5,,,,,,,,,,,,,,,,,,,,,,,
Pockwock,2018-01-06,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,6,†,-14,,-16,,-15,,33,,0,,0,,1,,0.2,,0,T,,,,
Pockwock,2018-01-07,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,7,†,-5,,-18,,-11.5,,29.5,,0,,0,,1,,0,,1,,,,,
Pockwock,2018-01-08,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,8,†,2,,-16,,-7,,25,,0,,2.8,,0,T,2.8,,1,,,,,
Pockwock,2018-01-09,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,9,†,-0.5,,-5,,-2.8,,20.8,,0,,0,,0,T,0,,0,T,,,,
Pockwock,2018-01-10,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,10,†,2.5,,-9,,-3.3,,21.3,,0,,0,,0,,0,,0,T,,,,
Pockwock,2018-01-11,-63.83,44.77,POCKWOCK LAKE,8204453,2018,1,11,†,7,,-6,,0.5,,17.5,,0,,0.2,,0,,0.2,,0,,,,,
