Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Shelburne,2003-01-01,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,1,,4.7,,-6.3,,-0.8,,18.8,,0,,,,,,7.1,,,M,,,,
Shelburne,2003-01-02,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,2,,-5.9,,-9,,-7.5,,25.5,,0,,,,,,6.8,,12,,,,,
Shelburne,2003-01-03,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,3,,-2.6,,-11.2,,-6.9,,24.9,,0,,,,,,4.9,,16,,,,,
Shelburne,2003-01-04,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,4,,-2.7,,-7.9,,-5.3,,23.3,,0,,,,,,13.2,,19,,,,,
Shelburne,2003-01-05,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,5,,-2.7,,-4.8,,-3.8,,21.8,,0,,,,,,2.2,,29,,,,,
Shelburne,2003-01-06,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,6,,-1.8,,-5.7,,-3.8,,21.8,,0,,,,,,3.9,,,M,,,,
Shelburne,2003-01-07,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,7,,-2.1,,-3.7,,-2.9,,20.9,,0,,,,,,2.3,,,M,,,,
Shelburne,2003-01-08,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,8,,-1.6,,-6.7,,-4.2,,22.2,,0,,,,,,1.3,,27,,,,,
Shelburne,2003-01-09,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,9,,-1.3,,-9.1,,-5.2,,23.2,,0,,,,,,0,,,M,,,,
Shelburne,2003-01-10,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,10,,-6.4,,-13,,-9.7,,27.7,,0,,,,,,8,,,M,,,,
Shelburne,2003-01-11,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,11,,-7.4,,-13.8,,-10.6,,28.6,,0,,,,,,2.3,,,M,,,,
Shelburne,2003-01-12,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,12,,-5.3,,-14.2,,-9.8,,27.8,,0,,,,,,0.2,,,M,,,,
Shelburne,2003-01-13,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,13,,-1.6,,-12.7,,-7.2,,25.2,,0,,,,,,3.5,,,M,,,,
Shelburne,2003-01-14,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,14,,-7.2,,-10.7,,-9,,27,,0,,,,,,1,,,M,,,,
Shelburne,2003-01-15,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,15,,-8,,-18,,-13,,31,,0,,,,,,0,,,M,,,,
Shelburne,2003-01-16,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,16,,-8.4,,-18.1,,-13.3,,31.3,,0,,,,,,0.7,,36,,,,,
Shelburne,2003-01-17,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,17,,-4.7,,-16.4,,-10.6,,28.6,,0,,,,,,2.1,,35,,,,,
Shelburne,2003-01-18,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,18,,-8.8,,-18.8,,-13.8,,31.8,,0,,,,,,0.6,,36,,,,,
Shelburne,2003-01-19,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,19,,-4.6,,-22.1,,-13.4,,31.4,,0,,,,,,0.3,,37,,,,,
Shelburne,2003-01-20,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,20,,-3.9,,-12.4,,-8.2,,26.2,,0,,,,,,12.8,,,M,,,,
Shelburne,2003-01-21,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,21,,-9.9,,-12.3,,-11.1,,29.1,,0,,,,,,4.2,,,M,,,,
Shelburne,2003-01-22,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,22,,-13.4,,-19.2,,-16.3,,34.3,,0,,,,,,1.2,,53,,,,,
Shelburne,2003-01-23,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,23,,-5.2,,-19.8,,-12.5,,30.5,,0,,,,,,0.5,,,M,,,,
Shelburne,2003-01-24,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,24,,-7.4,,-11.4,,-9.4,,27.4,,0,,,,,,0.5,,,M,,,,
Shelburne,2003-01-25,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,25,,-6.3,,-18.1,,-12.2,,30.2,,0,,,,,,0.6,,,M,,,,
Shelburne,2003-01-26,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,26,,-0.7,,-13.9,,-7.3,,25.3,,0,,,,,,9.4,,43,,,,,
Shelburne,2003-01-27,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,27,,-0.2,,-2.4,,-1.3,,19.3,,0,,,,,,6.7,,,M,,,,
Shelburne,2003-01-28,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,28,,-10.8,,-17.1,,-14,,32,,0,,,,,,1.9,,56,,,,,
Shelburne,2003-01-29,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,29,,-2.3,,-16.4,,-9.4,,27.4,,0,,,,,,12.4,,,M,,,,
Shelburne,2003-01-30,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,30,,0.6,,-11.3,,-5.4,,23.4,,0,,,,,,6.9,,,M,,,,
Shelburne,2003-01-31,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,1,31,,0,,-6,,-3,,21,,0,,,,,,24.7,,,M,,,,
Shelburne,2003-02-01,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,2,1,,1.6,,-1.8,,-0.1,,18.1,,0,,,,,,41.4,,,M,,,,
Shelburne,2003-02-02,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,2,2,,3.4,,-1.3,,1.1,,16.9,,0,,,,,,37.3,,,M,,,,
Shelburne,2003-02-03,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,2,3,,-0.5,,-2.2,,-1.4,,19.4,,0,,,,,,4.1,,,M,,,,
Shelburne,2003-02-04,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,2,4,,6,,-9.3,,-1.7,,19.7,,0,,,,,,16.3,,,M,,,,
Shelburne,2003-02-05,-65.2,44.4,KEJIMKUJIK 1,8202592,2003,2,5,,1.4,,-3,,-0.8,,18.8,,0,,,,,,0.5,,36,,,,,
