GRU_Variant,Experiment,Accuracy,ROC_AUC,F1_Score
Variant 1,GBM Results,0.9529890801406626,0.7970141762992066,0.22085889570552147
Variant 2,GBM Results,0.952063668332408,0.7950001869465305,0.24489795918367346
Variant 3,GBM Results,0.9537294095872664,0.7931975909782483,0.3131868131868132
Variant 1,Engineered Features,0.965944845456228,0.8930102472261466,0.9825955353764662
Variant 2,Engineered Features,0.9611327040533038,0.8632317211814329,0.9801098692934268
Variant 3,Engineered Features,0.9637238571164168,0.8839810128684313,0.9814674735249622
