GRU_Variant,Experiment,Accuracy,ROC_AUC,F1_Score
Variant 1,Engineered Features,0.965944845456228,0.8930102472261466,0.9825955353764662
Variant 2,Engineered Features,0.9611327040533038,0.8632317211814329,0.9801098692934268
Variant 3,Engineered Features,0.9637238571164168,0.8839810128684313,0.9814674735249622
