GRU_Variant,Experiment,Accuracy,ROC_AUC,F1_Score
Variant 1,GBM Results,0.9529890801406626,0.7970141762992066,0.22085889570552147
Variant 2,GBM Results,0.952063668332408,0.7950001869465305,0.24489795918367346
Variant 3,GBM Results,0.9537294095872664,0.7931975909782483,0.3131868131868132
