Location,Date,Mean Temp (°C),Conductivity,Total Precip (mm),Turbidity,Total Snow (cm),Cool Deg Days (°C),Spd of Max Gust (km/h),Label_Anomaly,Label_Proxy,Predicted_Risk_Score,Risk_Level
Shelburne,2003-11-20,0.4979918836343308,0.1102897323112734,2.226835612320502,0.2315097048146183,0.117083444949923,-0.3903088303699779,-0.7629862373540647,0,0,0.003005883898283566,Low
Margaree,2003-11-20,0.1233166021302752,2.164184656317189,-1.376703931711789,-0.3808824592778835,-0.3857895222683389,-0.2581412448368013,1.267881278598299,0,0,0.0017049851405828494,Low
Pockwock,2003-11-20,1.036991270053541,1.8094242089116177,2.52496801997964,0.3938545603274312,-0.7676704206674964,-0.5652041452103637,-1.000359208265029,0,0,0.0036277399433539415,Low
Pockwock,2003-11-21,1.4154922968343568,2.922440387412327,3.790282188241421,0.8442723199364748,-0.962258313198911,-0.6043820847672273,-1.4571537677338482,0,0,0.13373347393400303,Low
Shelburne,2003-11-21,0.569397290205306,-0.2767527167552953,0.5483578765352439,-0.2358338708954902,-0.8022293804429151,-0.084807215125219,1.2001179907616673,0,0,0.001292621716170573,Low
Margaree,2003-11-21,0.5976030691467948,3.6849108181621832,0.652972352096057,0.282222604975563,-0.4777976496208923,-0.4917241592215872,-0.3268668954882641,0,0,0.007362691687860511,Low
Margaree,2003-11-22,-0.3591151189055366,3.1906692737907814,-0.3000044140958589,-0.3295500482254488,-0.7942488810771609,0.0281421860727026,1.3176735310028072,0,0,0.004239563725612432,Low
Shelburne,2003-11-22,-0.0080777439844088,-1.090053170682408,0.244211277830675,-0.7546175434977267,-0.4781219369036274,-0.3065181025379274,-0.0907071710193672,0,0,0.001292621716170573,Low
Pockwock,2003-11-22,-0.1314837959100692,-0.3862514863723229,-0.0246533484613595,-0.7535478574120498,-0.4996619392237447,-0.3094243218898753,0.2146679674312971,0,0,0.001292621716170573,Low
Shelburne,2003-11-23,-0.6545878591860245,-1.0864391442857857,0.3499336513676425,-1.0444620312158708,-0.6148081680454313,-0.1110484399902545,-0.0015948024718992,0,0,0.001292621716170573,Low
Pockwock,2003-11-23,-0.3959656175072204,-0.5170053109356003,-0.0990989417259821,-0.9069821131148282,-0.495861289121966,-0.2652605597636617,0.1664962640357317,0,0,0.001292621716170573,Low
Margaree,2003-11-23,-0.6734427173281079,2.0934648796461506,-1.2789237413447958,-0.7673559017809601,-0.563359877266742,-0.0009315544566592,1.4469556044532363,0,0,0.0023647706856468453,Low
Pockwock,2003-11-24,-0.4102740041856679,-0.4848014016360678,-0.0431153093624756,-0.9103814006767984,-0.5056388654366432,-0.2641114735394979,0.1409715365409128,0,0,0.001292621716170573,Low
Margaree,2003-11-24,-0.4205027712440557,1.058364648922532,-1.262945958706833,-0.8542664182538604,-0.1152230366031857,-0.4240647473859737,0.108585798380987,0,0,0.001292621716170573,Low
Shelburne,2003-11-24,-1.1096551468222888,-1.1623125775222118,0.2549101082875993,-0.2154821934964623,-0.4455754103782032,-0.0706605498014659,-0.2484244875776379,0,0,0.001292621716170573,Low
Pockwock,2003-11-25,0.0887917650069981,-0.3537489067821103,-0.0515765213351828,-0.6407553714455746,-0.4745077361318058,-0.3585954975331967,0.246988104976879,0,0,0.001292621716170573,Low
Margaree,2003-11-25,-0.1463554423036925,1.7009377181973484,-1.3444606919661422,-0.6175772592557094,-0.0356751159406489,-0.5012351630978105,-0.0113994817176242,0,0,0.001374694551992668,Low
Shelburne,2003-11-25,-0.0993258385586643,-1.049987837086701,0.4145649313478797,-0.7335526719857819,-0.4414302347079947,-0.2948237390679945,-0.1897749587371792,0,0,0.001292621716170573,Low
Shelburne,2003-11-26,-1.0489321161958796,-1.2059138583845517,0.3520002378940567,-1.1401524770498224,-0.6597532862519444,-0.0329619233539124,-0.054009312880267,0,0,0.001292621716170573,Low
Pockwock,2003-11-26,-0.7987007380518121,-0.5944526588461265,-0.047719439240519,-1.103316498278908,-0.5469969427213176,-0.1769520813718356,0.1111918842671535,0,0,0.001292621716170573,Low
Margaree,2003-11-26,-0.8292170371498703,0.8972786085808337,-1.2172152996631216,-1.0010059312097883,-0.1240796038159825,-0.3552012014673311,-0.0550887866552252,0,0,0.001292621716170573,Low
Margaree,2003-11-27,-1.1145669846343496,0.6745043382138136,-1.2807820740465994,-0.9502653365324256,0.0006736217146296,-0.3881123798965649,-0.4519378840568357,0,0,0.001292621716170573,Low
Pockwock,2003-11-27,-0.4280663681134538,0.2558670266533052,0.9414024772937384,-0.7085171988146509,-0.6649989310273702,-0.2480705513682201,-0.3375220866250477,0,0,0.001292621716170573,Low
Shelburne,2003-11-27,-0.4346550260079213,-1.1477070314869375,0.4486100291715498,-0.9081289814267984,-0.4402940643891536,-0.2524255952955498,-0.3520467099992625,0,0,0.001292621716170573,Low
Shelburne,2003-11-28,-0.2580996062380806,-0.542711322878017,1.5160734330630978,0.6964749807209851,0.0508857608755341,-0.3081705319158861,-0.8233105458163283,0,0,0.0014505244175530123,Low
Margaree,2003-11-28,-1.4568200865214862,1.2033633958252203,-0.9054072951895396,-0.9285780186033916,-0.2917984268438739,-0.1240837871751719,0.0254329935092202,0,0,0.001292621716170573,Low
