Model,Label_Type,Accuracy,ROC_AUC,F1_Score
GB Classifier,Anomaly,0.9873348017621145,0.9977245800754613,0.8606060606060606
XGBoost,Anomaly,0.9629221732745962,0.9886712002227476,0.41954022988505746
LightGBM,Anomaly,0.9605359765051396,0.9915421998590781,0.3504531722054381
GB Classifier,Proxy,0.9981644640234949,0.99993954150001,0.9952380952380953
XGBoost,Proxy,0.9188693098384728,0.9868554584093022,0.7436194895591647
LightGBM,Proxy,0.9174008810572687,0.9884449771510054,0.7374562427071178
